Date,Open,High,Low,Close,Adj Close,Volume,Turnover
9/23/2019,104817,104817,104020,104638,104638,321558200,8349194.21
9/24/2019,104638,104893,103504,103876,103876,397217000,10433475.14
9/25/2019,103857,104481,103034,104481,104481,411746800,10484581.43
9/26/2019,104485,105342,104337,105319,105319,413865200,10560001.08
9/27/2019,105319,105633,104506,105078,105078,347115000,9223658.9
9/30/2019,105077,105178,104638,104745,104745,389576000,9893554.84
10/1/2019,104745,105121,103837,104053,104053,409572400,10202393.71
10/2/2019,104049,104049,100944,101031,101031,506616200,12800868.52
10/3/2019,101031,101560,99826,101516,101516,466557000,11823581.9
10/4/2019,101516,102580,101057,102551,102551,464938200,12269936.5
10/7/2019,102546,102546,100542,100573,100573,393827000,10161144.35
10/8/2019,100565,101296,99868,99981,99981,434262200,10925888.81
10/9/2019,100005,101567,100005,101249,101249,393904600,9538341.35
10/10/2019,101244,102483,101152,101817,101817,437309700,10608414.14
10/11/2019,101819,104381,101819,103832,103832,447967000,12066409.95
10/14/2019,103834,104305,103438,104302,104302,298793800,7898066.4
10/15/2019,104299,105048,104052,104490,104490,409339800,11393626.76
10/16/2019,104486,105462,103521,105423,105423,450940900,12691437.09
10/17/2019,105389,105891,104827,105016,105016,418895200,11447378.73
10/18/2019,105012,105464,104525,104729,104729,447809900,12449146.04
10/21/2019,104729,106027,104696,106022,106022,350487300,9491075.07
10/22/2019,107101,107382,107076,107381,107381,522490200,14228004.79
10/23/2019,107381,107959,107041,107544,107544,465622100,13138521.25
10/24/2019,107553,107744,106593,106986,106986,561917900,15175088.65
10/25/2019,106990,108083,106990,107364,107364,539885800,14049232.67
10/28/2019,107366,108393,107362,108187,108187,396722200,11140463.85
10/29/2019,108189,108195,107313,107556,107556,431315300,11343222.2
10/30/2019,107557,108408,106622,108408,108408,545055100,14896109.6
10/31/2019,108403,108403,106356,107220,107220,537597300,15144741.6
11/1/2019,107221,108496,107220,108196,108196,546634300,15961680.71
11/4/2019,108196,109352,108196,108601,108601,518223000,14773923.23
11/5/2019,108779,109343,108253,108451,108451,565757400,16254614.36
11/6/2019,108719,109633,107446,108336,108336,550587700,15406136.65
11/7/2019,108360,109672,108360,109581,109581,607752300,15773876.22
11/8/2019,109572,109572,107127,107629,107629,542075300,15280345.07
